0
Venusaur ex
Exeggutor ex
Charizard ex
Arcanine ex
Moltres ex
Blastoise ex
Starmie ex
Articuno ex
Pikachu ex
Zapdos ex
Gengar ex
Mewtwo ex
Machamp ex
Marowak ex
Wigglytuff ex
Lapras ex
Celebi ex
Gyarados ex
Mew ex
Aerodactyl ex
Pidgeot ex
Yanmega ex
Infernape ex
Palkia ex
Pachirisu ex
Mismagius ex
Gallade ex
Weavile ex
Darkrai ex
Dialga ex
Lickilicky ex
Cresselia ex
Leafeon ex
Glaceon ex
Garchomp ex
Probopass ex
Arceus ex
Beedrill ex
Charizard ex
Wugtrio ex
Pikachu ex
Giratina ex
Lucario ex
Paldean Clodsire ex
Tinkaton ex
Bibarel ex
Decidueye ex
Dhelmise ex
Incineroar ex
Crabominable ex
Wishiwashi ex
Alolan Raichu ex
Lunala ex
Passimian ex
Alolan Muk ex
Solgaleo ex
Rayquaza ex
Buzzwole ex
Tapu Koko ex
Lycanroc ex
Guzzlord ex
Alolan Dugtrio ex
Ultra Necrozma ex
Flareon ex
Primarina ex
Sylveon ex
Dragonite ex
Eevee ex
Snorlax ex
Shuckle ex
Ho-Oh ex
Kingdra ex
Lanturn ex
Espeon ex
Donphan ex
Crobat ex
Umbreon ex
Skarmory ex
Lugia ex
Blissey ex
Jumpluff ex
Entei ex
Suicune ex
Raikou ex
Poliwrath ex
Raichu ex
Whimsicott ex
Rapidash ex
Greninja ex
Jolteon ex
Indeedee ex
Hitmonchan ex
Dragalge ex
Melmetal ex
Tauros ex
