Deck,Count,Share,Score,Win_Percentage,Deck_links
Mewtwo ex Gardevoir,8860,17.69%,21679 - 20784 - 361,50.62%,/decks/mewtwo-ex-gardevoir-a1?game=POCKET&format=standard&set=A1a
Gyarados ex Greninja,5900,11.78%,15817 - 13789 - 257,52.97%,/decks/gyarados-ex-a1a-greninja-a1?game=POCKET&format=standard&set=A1a
Pikachu ex Zebstrika,4464,8.91%,11484 - 10216 - 203,52.43%,/decks/pikachu-ex-zebstrika-a1?game=POCKET&format=standard&set=A1a
Celebi ex Serperior,2676,5.34%,6267 - 6586 - 89,48.42%,/decks/celebi-ex-serperior-a1a?game=POCKET&format=standard&set=A1a
Exeggutor ex Celebi ex,2612,5.21%,7044 - 5823 - 144,54.14%,/decks/exeggutor-ex-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A1a
Charizard ex Moltres ex,1767,3.53%,3887 - 4031 - 77,48.62%,/decks/charizard-ex-moltres-ex-a1?game=POCKET&format=standard&set=A1a
Pikachu ex Raichu,1276,2.55%,3293 - 2959 - 55,52.21%,/decks/pikachu-ex-raichu-a1?game=POCKET&format=standard&set=A1a
Charizard ex Arcanine ex,1263,2.52%,3258 - 2861 - 61,52.72%,/decks/charizard-ex-arcanine-ex-a1?game=POCKET&format=standard&set=A1a
Scolipede Weezing,1209,2.41%,2561 - 3000 - 72,45.46%,/decks/scolipede-a1a-weezing-a1?game=POCKET&format=standard&set=A1a
Arcanine ex Moltres ex,1208,2.41%,3070 - 2766 - 68,52.00%,/decks/arcanine-ex-moltres-ex-a1?game=POCKET&format=standard&set=A1a
Aerodactyl ex Primeape,1171,2.34%,3048 - 2767 - 46,52.00%,/decks/aerodactyl-ex-primeape-a1a?game=POCKET&format=standard&set=A1a
Golem Druddigon,1006,2.01%,2025 - 2426 - 59,44.90%,/decks/golem-druddigon-a1a?game=POCKET&format=standard&set=A1a
Greninja Mew ex,687,1.37%,1629 - 1576 - 56,49.95%,/decks/greninja-a1-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Pikachu ex Zapdos ex,621,1.24%,1407 - 1481 - 19,48.40%,/decks/pikachu-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A1a
Aerodactyl ex Farfetch'd,609,1.22%,1652 - 1403 - 41,53.36%,/decks/aerodactyl-ex-a1a-farfetchd-a1?game=POCKET&format=standard&set=A1a
Exeggutor ex Mew ex,457,0.91%,1067 - 1012 - 35,50.47%,/decks/exeggutor-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Starmie ex Articuno ex,448,0.89%,1174 - 1124 - 9,50.89%,/decks/starmie-ex-articuno-ex-a1?game=POCKET&format=standard&set=A1a
Pidgeot ex Pidgeot,432,0.86%,864 - 1060 - 14,44.58%,/decks/pidgeot-ex-a1a-pidgeot-a1?game=POCKET&format=standard&set=A1a
Ninetales Rapidash,368,0.73%,716 - 868 - 5,45.06%,/decks/ninetales-a1-rapidash-a1a?game=POCKET&format=standard&set=A1a
Starmie ex Gyarados ex,363,0.72%,818 - 889 - 9,47.67%,/decks/starmie-ex-a1-gyarados-ex-a1a?game=POCKET&format=standard&set=A1a
Starmie ex Lumineon,343,0.68%,724 - 839 - 16,45.85%,/decks/starmie-ex-a1-lumineon-a1a?game=POCKET&format=standard&set=A1a
Aerodactyl ex Mew ex,335,0.67%,828 - 768 - 33,50.83%,/decks/aerodactyl-ex-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Greninja Farfetch'd,328,0.65%,882 - 784 - 12,52.56%,/decks/greninja-farfetchd-a1?game=POCKET&format=standard&set=A1a
Pikachu ex Electrode,259,0.52%,647 - 637 - 6,50.16%,/decks/pikachu-ex-electrode-a1?game=POCKET&format=standard&set=A1a
Mew ex Farfetch'd,256,0.51%,574 - 618 - 14,47.60%,/decks/mew-ex-a1a-farfetchd-a1?game=POCKET&format=standard&set=A1a
Greninja Tauros,249,0.50%,632 - 593 - 15,50.97%,/decks/greninja-a1-tauros-a1a?game=POCKET&format=standard&set=A1a
Mew ex Greninja,242,0.48%,505 - 544 - 22,47.15%,/decks/mew-ex-a1a-greninja-a1?game=POCKET&format=standard&set=A1a
Pidgeot ex Mew ex,210,0.42%,380 - 511 - 4,42.46%,/decks/pidgeot-ex-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Exeggutor ex Serperior,201,0.40%,434 - 481 - 13,46.77%,/decks/exeggutor-ex-a1-serperior-a1a?game=POCKET&format=standard&set=A1a
Gyarados ex Vaporeon,195,0.39%,394 - 449 - 6,46.41%,/decks/gyarados-ex-vaporeon-a1a?game=POCKET&format=standard&set=A1a
Gyarados ex Articuno ex,191,0.38%,410 - 467 - 3,46.59%,/decks/gyarados-ex-a1a-articuno-ex-a1?game=POCKET&format=standard&set=A1a
Ninetales Rapidash,187,0.37%,410 - 479 - 8,45.71%,/decks/ninetales-rapidash-a1?game=POCKET&format=standard&set=A1a
Pidgeot ex Druddigon,179,0.36%,371 - 429 - 9,45.86%,/decks/pidgeot-ex-druddigon-a1a?game=POCKET&format=standard&set=A1a
Greninja Gyarados ex,165,0.33%,423 - 413 - 11,49.94%,/decks/greninja-a1-gyarados-ex-a1a?game=POCKET&format=standard&set=A1a
Gengar ex Mew ex,164,0.33%,270 - 396 - 10,39.94%,/decks/gengar-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Alakazam Mew ex,153,0.31%,205 - 376 - 9,34.75%,/decks/alakazam-a1-mew-ex-a1a?game=POCKET&format=standard&set=A1a
Gardevoir Mewtwo ex,152,0.30%,279 - 392 - 10,40.97%,/decks/gardevoir-mewtwo-ex-a1?game=POCKET&format=standard&set=A1a
Articuno ex Greninja,148,0.30%,354 - 363 - 7,48.90%,/decks/articuno-ex-greninja-a1?game=POCKET&format=standard&set=A1a
Arbok Weezing,139,0.28%,260 - 332 - 2,43.77%,/decks/arbok-weezing-a1?game=POCKET&format=standard&set=A1a
Starmie ex Greninja,123,0.25%,303 - 302 - 2,49.92%,/decks/starmie-ex-greninja-a1?game=POCKET&format=standard&set=A1a
Dragonite Druddigon,120,0.24%,179 - 308 - 4,36.46%,/decks/dragonite-a1-druddigon-a1a?game=POCKET&format=standard&set=A1a
Exeggutor ex Greninja,114,0.23%,282 - 278 - 6,49.82%,/decks/exeggutor-ex-greninja-a1?game=POCKET&format=standard&set=A1a
