Deck,Count,Share,Score,Win_Percentage,Deck_links
Dialga ex Arceus ex,7576,20.04%,21005 - 18113 - 405,53.15%,/decks/dialga-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Rampardos Lucario,3657,9.67%,9964 - 8763 - 192,52.67%,/decks/rampardos-lucario-a2?game=POCKET&format=standard&set=A2a
Articuno ex,1899,5.02%,5268 - 4557 - 87,53.15%,/decks/articuno-ex-a1?game=POCKET&format=standard&set=A2a
Leafeon ex Celebi ex,1206,3.19%,2607 - 2888 - 43,47.07%,/decks/leafeon-ex-a2a-celebi-ex-a1a?game=POCKET&format=standard&set=A2a
Gallade ex Hitmonlee,1155,3.06%,3075 - 2798 - 52,51.90%,/decks/gallade-ex-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2a
Palkia ex,1120,2.96%,3202 - 2680 - 56,53.92%,/decks/palkia-ex-a2?game=POCKET&format=standard&set=A2a
Palkia ex Origin Forme Palkia,1102,2.92%,2988 - 2710 - 44,52.04%,/decks/palkia-ex-a2-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2a
Weavile ex Darkrai ex,1040,2.75%,2679 - 2541 - 45,50.88%,/decks/weavile-ex-darkrai-ex-a2?game=POCKET&format=standard&set=A2a
Darkrai ex Magnezone,1036,2.74%,2526 - 2480 - 49,49.97%,/decks/darkrai-ex-magnezone-a2?game=POCKET&format=standard&set=A2a
Exeggutor ex Celebi ex,924,2.44%,2103 - 2250 - 41,47.86%,/decks/exeggutor-ex-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A2a
Charizard ex Moltres ex,704,1.86%,1410 - 1716 - 14,44.90%,/decks/charizard-ex-moltres-ex-a1?game=POCKET&format=standard&set=A2a
Arceus ex Crobat,657,1.74%,1508 - 1571 - 31,48.49%,/decks/arceus-ex-crobat-a2a?game=POCKET&format=standard&set=A2a
Exeggutor ex Arceus ex,605,1.60%,1703 - 1491 - 33,52.77%,/decks/exeggutor-ex-a1-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Darkrai ex Arceus ex,541,1.43%,1382 - 1271 - 35,51.41%,/decks/darkrai-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Arceus ex Carnivine,541,1.43%,1342 - 1305 - 15,50.41%,/decks/arceus-ex-carnivine-a2a?game=POCKET&format=standard&set=A2a
Gyarados ex Origin Forme Palkia,519,1.37%,1422 - 1262 - 25,52.49%,/decks/gyarados-ex-a1a-origin-forme-palkia-a2a?game=POCKET&format=standard&set=A2a
Arceus ex Greninja,457,1.21%,1093 - 1063 - 31,49.98%,/decks/arceus-ex-a2a-greninja-a1?game=POCKET&format=standard&set=A2a
Starmie ex Palkia ex,426,1.13%,1156 - 1046 - 12,52.21%,/decks/starmie-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2a
Articuno ex Palkia ex,316,0.84%,757 - 762 - 17,49.28%,/decks/articuno-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2a
Gallade ex,313,0.83%,763 - 796 - 9,48.66%,/decks/gallade-ex-a2?game=POCKET&format=standard&set=A2a
Magnezone Skarmory,303,0.80%,756 - 736 - 12,50.27%,/decks/magnezone-skarmory-a2?game=POCKET&format=standard&set=A2a
Lucario Rampardos,266,0.70%,689 - 627 - 15,51.77%,/decks/lucario-rampardos-a2?game=POCKET&format=standard&set=A2a
Infernape ex Arceus ex,266,0.70%,562 - 674 - 8,45.18%,/decks/infernape-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
Gyarados ex Druddigon,263,0.70%,613 - 593 - 25,49.80%,/decks/gyarados-ex-druddigon-a1a?game=POCKET&format=standard&set=A2a
Gyarados ex Greninja,259,0.69%,579 - 614 - 14,47.97%,/decks/gyarados-ex-a1a-greninja-a1?game=POCKET&format=standard&set=A2a
Palkia ex Vaporeon,252,0.67%,523 - 565 - 7,47.76%,/decks/palkia-ex-a2-vaporeon-a1a?game=POCKET&format=standard&set=A2a
Dialga ex Mew ex,251,0.66%,587 - 643 - 10,47.34%,/decks/dialga-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2a
Mewtwo ex Gardevoir,229,0.61%,429 - 524 - 9,44.59%,/decks/mewtwo-ex-gardevoir-a1?game=POCKET&format=standard&set=A2a
Darkrai ex Greninja,223,0.59%,457 - 505 - 9,47.06%,/decks/darkrai-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2a
Palkia ex Articuno ex,204,0.54%,519 - 487 - 6,51.28%,/decks/palkia-ex-a2-articuno-ex-a1?game=POCKET&format=standard&set=A2a
Gallade ex Sudowoodo,191,0.51%,410 - 445 - 14,47.18%,/decks/gallade-ex-a2-sudowoodo-a2a?game=POCKET&format=standard&set=A2a
Gallade ex Lucario,181,0.48%,419 - 476 - 8,46.40%,/decks/gallade-ex-lucario-a2?game=POCKET&format=standard&set=A2a
Yanmega ex Leafeon ex,181,0.48%,352 - 436 - 3,44.50%,/decks/yanmega-ex-a2-leafeon-ex-a2a?game=POCKET&format=standard&set=A2a
Pachirisu ex,178,0.47%,357 - 411 - 6,46.12%,/decks/pachirisu-ex-a2?game=POCKET&format=standard&set=A2a
Magnezone Snorlax,178,0.47%,363 - 434 - 8,45.09%,/decks/magnezone-a2-snorlax-a2a?game=POCKET&format=standard&set=A2a
Garchomp ex Lucario,165,0.44%,234 - 411 - 0,36.28%,/decks/garchomp-ex-a2a-lucario-a2?game=POCKET&format=standard&set=A2a
Gyarados ex Manaphy,164,0.43%,442 - 384 - 19,52.31%,/decks/gyarados-ex-a1a-manaphy-a2?game=POCKET&format=standard&set=A2a
Probopass ex Dialga ex,161,0.43%,263 - 405 - 7,38.96%,/decks/probopass-ex-a2a-dialga-ex-a2?game=POCKET&format=standard&set=A2a
Arceus ex Magnezone,155,0.41%,310 - 345 - 5,46.97%,/decks/arceus-ex-a2a-magnezone-a2?game=POCKET&format=standard&set=A2a
Palkia ex Arceus ex,150,0.40%,343 - 341 - 4,49.85%,/decks/palkia-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2a
